iter	Logloss
0	0.683396236
1	0.6753231832
2	0.6687091176
3	0.663063339
4	0.6586228981
5	0.6547057258
6	0.6499151192
7	0.6459225454
8	0.6421045642
9	0.6392768344
10	0.6366117324
11	0.6344994571
12	0.632486217
13	0.6305584831
14	0.6290731327
15	0.6276335542
16	0.6265609477
17	0.6253865762
18	0.6246306214
19	0.6236863809
20	0.6227477081
21	0.6219293071
22	0.6212465109
23	0.6205521882
24	0.6200903217
25	0.6196955373
26	0.6193052429
27	0.618996322
28	0.618607396
29	0.6183124168
30	0.6180376623
31	0.6178639081
32	0.617486674
33	0.617205822
34	0.6171125429
35	0.6169472291
36	0.6167734458
37	0.6164717898
38	0.6163953942
39	0.6160167249
40	0.6159146213
41	0.6158030423
42	0.6154591344
43	0.6153527932
44	0.6153345824
45	0.6149709325
46	0.6147412013
47	0.614535979
48	0.6144303103
49	0.6142925981
50	0.6141635327
51	0.6139593775
52	0.6139274513
53	0.6138295154
54	0.6137018652
55	0.6135829964
56	0.613498353
57	0.6133246269
58	0.6132085659
59	0.6130842427
60	0.6130062526
61	0.6129270293
62	0.6128137652
63	0.6127447264
64	0.6127391868
65	0.612739173
66	0.6126594344
67	0.6125834869
68	0.6125223394
69	0.6124752502
70	0.6124087321
71	0.6123697639
72	0.6122800587
73	0.6122767004
74	0.6122206326
75	0.6122196831
76	0.6121859252
77	0.6121217472
78	0.6121058542
79	0.612103048
80	0.6120666558
81	0.6119792321
82	0.6119384675
83	0.611891548
84	0.6118738176
85	0.6118667624
86	0.6118534541
87	0.6118194363
88	0.6117992287
89	0.6117471447
90	0.6117414918
91	0.6117133248
92	0.6116644238
93	0.6116326301
94	0.6116147105
95	0.6116074268
96	0.6116005046
97	0.6114820162
98	0.6114614496
99	0.6114583876
