iter	Passed	Remaining
0	18	1784
1	32	1592
2	47	1542
3	61	1475
4	76	1447
5	90	1417
6	105	1402
7	119	1377
8	134	1363
9	149	1343
10	162	1317
11	176	1292
12	190	1273
13	204	1256
14	220	1247
15	235	1238
16	252	1233
17	268	1221
18	288	1231
19	307	1229
20	323	1215
21	338	1198
22	354	1185
23	369	1171
24	387	1162
25	412	1173
26	427	1155
27	441	1135
28	455	1115
29	470	1097
30	484	1077
31	498	1059
32	512	1040
33	526	1021
34	540	1003
35	554	985
36	568	967
37	582	949
38	595	931
39	610	916
40	623	897
41	636	879
42	652	864
43	667	850
44	677	827
45	696	817
46	710	800
47	725	785
48	738	768
49	752	752
50	766	736
51	780	720
52	794	704
53	809	689
54	822	673
55	836	657
56	850	641
57	865	626
58	880	611
59	894	596
60	908	580
61	922	565
62	935	549
63	949	533
64	963	518
65	968	498
66	982	483
67	996	469
68	1010	454
69	1024	439
70	1039	424
71	1052	409
72	1066	394
73	1081	379
74	1096	365
75	1109	350
76	1123	335
77	1137	320
78	1149	305
79	1163	290
80	1177	276
81	1191	261
82	1207	247
83	1222	232
84	1237	218
85	1253	203
86	1267	189
87	1281	174
88	1301	160
89	1323	147
90	1339	132
91	1355	117
92	1370	103
93	1385	88
94	1401	73
95	1415	58
96	1433	44
97	1450	29
98	1462	14
99	1476	0
